IDSURVEY CID z MU MUERR
4 04D4bq 0.54834 42.27210 0.14330
1 744 0.12710 38.84330 0.13520
1 15203 0.20329 39.98270 0.13650
10 1319366 0.23610 40.23620 0.13210
66 2009ig 0.00810 32.79720 0.13371
4 04D3gx 0.91081 43.96830 0.18210
59 ASASSN-14fa 0.02333 35.01350 0.19650
150 PS17akj 0.04791 36.63420 0.14070
15 590002 0.20128 39.97560 0.13180
4 04D3fk 0.35842 41.34150 0.12350
64 2006bw 0.03171 35.59870 0.14140
1 13005 0.12642 38.91740 0.15900
4 05D3la 0.93681 43.82210 0.15360
65 2008gl 0.03271 35.73130 0.13820
1 10805 0.04442 36.26790 0.14180
1 15383 0.31506 41.15170 0.17850
1 10434 0.10305 38.50340 0.13310
1 15648 0.17392 39.65950 0.14790
1 19543 0.12186 38.92710 0.12790
150 PS16axi 0.04133 36.23150 0.12940
4 05D1hk 0.26209 40.48780 0.12730
4 04D2iu 0.70192 43.08200 0.22070
4 05D4bj 0.69918 43.17980 0.15490
150 AT2016hns 0.03735 36.09890 0.13690
1 16073 0.15357 39.47630 0.12650
1 15354 0.22083 40.16910 0.16050
5 2008hv 0.01387 33.83470 0.17980
150 PS16fa 0.04787 36.70700 0.12790
10 1253101 0.45960 41.92150 0.13940
51 2012cg 0.00278 30.91800 0.15167
150 ASASSN-15uv 0.02163 34.90630 0.14750
4 05D4cs 0.78807 43.44080 0.14640
1 15234 0.13535 39.28090 0.13060
10 1293319 0.29690 40.80030 0.13570
1 15259 0.21066 39.97250 0.13910
1 6936 0.17901 39.74370 0.13530
5 2006ej 0.02059 34.63640 0.15490
1 774 0.09252 38.20090 0.13270
15 350235 0.26393 40.64330 0.12860
10 1339002 0.30250 40.89050 0.16670
15 180166 0.14778 39.25740 0.12360
4 04D3ny 0.81078 43.47090 0.17720
150 AT2017zd 0.02964 35.36250 0.14020
51 2009D 0.02446 35.20500 0.16580
10 1293758 0.14720 39.27280 0.15860
150 CSS160129 0.06844 37.35620 0.13460
15 330022 0.26397 40.40420 0.14830
10 1307277 0.41070 41.77150 0.20030
5 2004gu 0.04669 36.48330 0.12930
