IDSURVEY CID z MU MUERR
15 150509 0.29293 40.88920 0.15190
10 1338278 0.56390 42.51770 0.18750
51 2009ee 0.03775 36.10810 0.14680
64 2006oa 0.06149 37.16530 0.13170
1 17218 0.17713 39.63680 0.15290
5 2007ba 0.03618 35.76370 0.13500
4 05D2ie 0.34949 41.48740 0.13060
62 1998ab 0.02889 34.99770 0.13890
15 080723 0.43020 41.96730 0.13930
1 5350 0.17438 39.59550 0.15090
10 1335868 0.61940 42.81850 0.18940
10 1339149 0.46780 41.88750 0.15130
50 1992P 0.02802 35.40730 0.16980
51 2007jg 0.03802 36.40210 0.13380
4 04D2gb 0.45162 41.70700 0.14400
10 1316431 0.19810 39.95440 0.12700
1 13835 0.24617 40.48730 0.13640
5 2007bc 0.02098 34.78650 0.14960
65 2009fv 0.02850 35.25560 0.14350
1 16352 0.25086 40.35960 0.16520
15 550096 0.22449 40.03820 0.15500
65 2007kk 0.04316 36.24100 0.13870
59 2013aa 0.00304 30.61320 0.14556
65 2007hj 0.01321 33.93710 0.18760
1 11300 0.13572 38.88020 0.14510
1 6422 0.18515 39.74130 0.12950
4 04D1iv 0.99646 44.04430 0.15690
15 310051 0.27057 40.60020 0.12880
150 AT2016cor 0.05098 36.97570 0.13100
15 480064 0.24284 40.73140 0.12580
150 PS15bjg 0.06786 37.63950 0.14740
10 1309749 0.78930 43.36510 0.14210
59 PTF10icb 0.01013 33.66070 0.24020
1 14019 0.21521 40.53060 0.16030
4 04D1aj 0.71969 43.17650 0.18000
64 2006ac 0.02454 35.02730 0.14480
4 04D2kr 0.74607 43.15410 0.15210
65 2007nq 0.04393 36.37750 0.13630
1 16072 0.28446 40.81230 0.16560
1 13830 0.32995 40.99740 0.16150
10 1343208 0.49930 42.23180 0.13470
15 110567 0.21440 40.11540 0.16500
100 Manipogo 0.85482 43.69400 0.26420
59 2012Z 0.00733 32.88810 0.29770
62 1997dg 0.03421 35.95700 0.13850
15 170428 0.30020 41.06020 0.12830
1 17223 0.23395 40.24110 0.16000
5 2008fl 0.02028 34.56530 0.15480
150 ASASSN-15hg 0.03170 35.73140 0.13790
4 06D2ck 0.55375 42.62190 0.13830
51 2009fv 0.02850 35.45170 0.13930
1 13354 0.15671 39.29720 0.12690
150 Gaia16agf 0.02502 35.34060 0.14490
4 05D2ec 0.64185 42.96610 0.15820
50 2008fv1 0.01090 33.34750 0.20980
15 310260 0.51885 42.33860 0.15570
4 05D4af 0.49739 42.27270 0.14190
15 500100 0.31088 41.17060 0.13350
4 04D3nh 0.34061 41.30090 0.12190
5 2007sr 0.00572 31.65250 0.12872
1 17186 0.07875 38.11980 0.13070
150 PS15cwx 0.03110 35.50200 0.14580
4 04D1kj 0.58382 42.60860 0.11850
10 1286398 0.15030 39.44700 0.14180
150 PSNJ0717457 0.00870 32.85310 0.23580
10 1313594 0.28830 40.87000 0.12930
50 1990T 0.03931 36.24600 0.14030
1 1794 0.14082 39.26760 0.13690
1 17568 0.13696 39.66680 0.15620
10 1289555 0.55880 42.41810 0.15630
5 2008gg 0.03112 35.58660 0.13530
15 510550 0.24122 40.45250 0.12590
64 2006hb 0.01530 34.02670 0.17940
50 2008fv 0.01090 33.40270 0.12666
15 310091 0.50725 42.37990 0.15300
10 1263715 0.29190 40.85130 0.13500
15 110721 0.57831 42.66790 0.17090
15 000174 0.24511 40.42860 0.12700
1 19632 0.31387 41.16130 0.16820
15 420352 0.38895 41.51050 0.14010
1 20088 0.24329 40.39530 0.13350
61 1994ae 0.00614 32.23110 0.12519
5 2004eo 0.01501 33.91180 0.17260
150 MASTEROTJ08 0.03111 35.78160 0.14120
150 PS15coh 0.01837 34.52980 0.16040
15 150457 0.30352 41.04180 0.13260
61 1995D 0.00840 32.57490 0.25030
1 20345 0.26370 40.39480 0.16000
4 05D2ci 0.63183 42.53190 0.16250
62 1998ec 0.02065 34.82130 0.15320
150 ASASSN-15nr 0.02355 34.94460 0.14940
51 2014bj 0.04245 36.61510 0.13040
15 140181 0.10246 38.37050 0.12370
15 570056 0.29008 40.82470 0.13880
59 2007on 0.00579 31.90810 0.34800
10 1287626 0.30400 40.81160 0.14290
51 2009kq 0.01258 33.66080 0.19130
64 2005ms 0.02689 35.39180 0.14220
50 1992bg 0.03518 35.95520 0.16280
10 1343871 0.63790 43.02680 0.20170
15 310146 0.47941 42.03850 0.15410
5 2008bq 0.03193 35.76060 0.13490
10 1337117 0.55390 42.21740 0.13700
50 1992al 0.01388 33.80330 0.18140
50 1999aw 0.03919 36.15390 0.12280
1 6304 0.18995 39.81350 0.13360
1 20142 0.31480 40.74060 0.15540
4 04D3cy 0.64371 42.96190 0.17600
1 14298 0.26078 40.67640 0.15930
15 350233 0.16924 39.60680 0.12640
5 2008hj 0.03689 35.98980 0.12990
1 12883 0.30575 40.69780 0.21590
4 05D2fq 0.73495 43.43250 0.16350
63 2001V 0.01550 33.88410 0.17120
15 120094 0.45162 42.17630 0.13820
150 AT2017lm 0.03039 35.65760 0.14560
10 1294743 0.31260 41.11270 0.13850
10 1340454 0.42100 41.59840 0.13780
1 18768 0.19688 40.08070 0.14470
1 15229 0.22271 40.27990 0.14430
15 380378 0.27141 40.70590 0.12590
5 2005bo 0.01468 33.87440 0.17590
15 090201 0.50825 42.17160 0.15380
1 15461 0.18493 39.74520 0.13130
150 ASASSN-16ay 0.02956 35.69680 0.14130
4 05D2bv 0.47565 42.04390 0.12750
1 17605 0.14542 39.23860 0.15910
15 500301 0.32560 41.32870 0.13680
5 2008hu 0.05059 36.76080 0.12810
1 19913 0.20569 40.11230 0.14240
15 100206 0.21650 39.94950 0.12900
1 16618 0.19208 39.70770 0.14390
4 05D3kt 0.64870 42.93050 0.14300
1 16100 0.19407 39.93860 0.13900
63 2002de 0.02858 35.50420 0.14520
5 2008gl 0.03271 35.70060 0.13360
64 2006bt 0.03059 35.84340 0.13840
1 762 0.19025 39.99800 0.13790
150 SN2017cii 0.03257 35.94310 0.13790
1 14481 0.24220 40.70840 0.17010
15 100163 0.31782 41.19770 0.16140
10 1283936 0.36900 41.65600 0.15170
4 05D1cl 0.82860 43.73680 0.16660
4 05D1az 0.84059 43.55430 0.15540
150 PS16fbb 0.05088 37.00220 0.13450
5 2005hj 0.05723 37.02360 0.12780
59 2008ec 0.01567 34.24160 0.20420
15 2017erp 0.00698 32.23830 0.07926
4 04D3df 0.47066 42.03020 0.13300
1 22075 0.12920 38.85460 0.13740
10 1306626 0.40950 41.69300 0.14170
64 2007F 0.02403 35.16560 0.14540
1 2689 0.16053 39.29580 0.13180
64 2006te 0.03308 35.83060 0.13790
1 6406 0.12393 38.74050 0.12560
10 1300912 0.33760 41.27170 0.12340
106 stone 1.80119 45.60830 0.18770
51 2013ex 0.01133 33.53710 0.20490
10 1289664 0.24910 40.31830 0.12810
1 13425 0.21127 40.23750 0.17580
66 2010dt 0.05316 36.93950 0.14920
51 2009al 0.02359 35.03880 0.14770
1 19702 0.26832 40.73450 0.17020
106 wilson 1.91165 45.54120 0.22240
15 370566 0.07167 37.51870 0.13110
1 13070 0.19733 39.94960 0.13850
4 04D4bk 0.87798 43.75220 0.15990
1 2992 0.12623 38.65740 0.13150
150 ASASSN-16lg 0.02122 34.46780 0.15580
4 05D4ev 0.72015 43.36490 0.17030
5 2004gc 0.03285 35.49180 0.13870
62 1997bp 0.00856 32.62370 0.12705
64 2007bc 0.02098 34.81920 0.15350
15 130514 0.10586 38.47390 0.12900
4 04D2fp 0.41657 41.85610 0.13330
4 06D4ce 0.84800 43.63920 0.19060
4 05D3kx 0.21959 40.18660 0.12480
4 05D4ej 0.58330 42.94670 0.13770
10 1262214 0.68940 43.20840 0.18980
59 2013gs 0.01774 34.40600 0.19060
4 04D1dc 0.21015 39.98540 0.12520
4 05D2nn 0.87211 43.68220 0.09960
1 14157 0.21095 39.90500 0.13760
64 2005am 0.00862 32.40370 0.24650
1 18323 0.15291 39.43030 0.13650
59 2010cr 0.02217 35.40640 0.20270
15 580276 0.33848 41.25420 0.14880
101 SCP05D6 1.31317 44.91970 0.23100
10 1250017 0.18170 39.76320 0.12890
15 370563 0.18527 39.88790 0.12880
15 450339 0.40935 41.85480 0.19540
15 080646 0.31822 41.15160 0.13590
150 SN2017cpu 0.05499 36.76310 0.14330
10 1327978 0.20730 39.98390 0.19360
64 2004ef 0.03006 35.53560 0.14810
4 06D2ga 0.84208 43.66620 0.20250
150 ASASSN-16bq 0.02526 35.28950 0.14230
15 470041 0.33189 41.12820 0.13110
15 050607 0.43935 41.94300 0.12950
65 2008051 0.03908 36.08110 0.13640
66 2010ag 0.03325 35.81690 0.14310
1 13894 0.11988 39.01870 0.12960
15 310090 0.34696 41.56250 0.24460
100 Spock 0.83981 43.30810 0.21970
10 1316385 0.14780 39.10340 0.13820
1 17791 0.27759 41.26230 0.21890
15 050601 0.35101 41.23480 0.16140
63 2001fe 0.01471 33.96930 0.17710
66 2009na 0.02202 34.80000 0.15180
59 2015bp 0.00541 32.60780 0.37070
150 ATLAS17ajn 0.02999 35.62290 0.14960
15 370595 0.18126 39.77600 0.12450
15 430003 0.32851 41.04250 0.16770
10 1303004 0.29490 40.85160 0.12880
1 5994 0.18590 39.82190 0.13860
15 590194 0.09039 38.04140 0.12870
150 PSNJ2043531 0.01499 34.34250 0.17900
150 ATLAS16agv 0.04819 36.58910 0.13270
66 2010ai 0.01800 35.03650 0.16220
1 12928 0.13875 39.09880 0.15510
56 2013cs 0.00915 32.59250 0.15842
59 2007cv 0.01315 33.82870 0.21110
4 04D3co 0.62070 42.86000 0.11330
50 2000bk 0.02800 35.45670 0.14830
10 1342255 0.21410 40.11520 0.12820
4 03D4au 0.46643 42.60340 0.15750
50 1992bo 0.01818 34.68360 0.16180
1 5549 0.12014 38.72040 0.12530
1 19969 0.17444 39.58140 0.12970
1 20227 0.27585 40.80970 0.16830
59 2009Y 0.00994 32.76050 0.16218
1 12950 0.08167 37.85480 0.12660
66 2010Y 0.01250 33.81380 0.19460
1 20111 0.24280 40.52140 0.16450
1 17801 0.20523 40.26070 0.16960
10 1304678 0.21880 40.23110 0.18160
15 050303 0.32842 41.38080 0.17750
1 18466 0.21239 40.12860 0.13380
1 8046 0.25772 40.70530 0.16040
150 AT2016eoa 0.02126 34.76340 0.16220
51 2005df 0.00424 31.45580 0.12328
50 1990af 0.04923 36.68380 0.16060
150 PS15bdr 0.07116 37.46930 0.14620
64 2006gr 0.03432 35.99000 0.13640
59 2014I 0.02912 35.65420 0.24960
64 2005eu 0.03570 35.87760 0.13770
10 1280217 0.35900 41.26760 0.14270
4 05D2eb 0.53572 42.32840 0.13980
65 2007A 0.01676 34.51550 0.16960
64 2006ak 0.04038 36.11550 0.14110
4 04D1oh 0.58879 42.63850 0.14140
10 1320166 0.44900 42.09060 0.14920
1 19596 0.29145 40.87730 0.16850
5 2007jg 0.03802 36.25070 0.13190
1 6780 0.20279 39.92380 0.15310
150 ASASSN-16db 0.03793 35.96790 0.13630
4 05D4bi 0.77309 43.52130 0.17850
51 2018dem 0.05877 37.40920 0.15760
5 2005bg 0.02468 35.06020 0.14270
15 190209 0.36656 41.37660 0.13410
15 110425 0.38093 41.56650 0.14210
4 04D3hn 0.55267 42.35010 0.13550
63 2002ck 0.02997 35.57810 0.14070
4 04D4ju 0.47042 42.49610 0.14270
10 1302058 0.19840 39.58290 0.12710
10 1296321 0.18440 40.08520 0.13350
150 ASASSN-17eb 0.05074 36.55010 0.13600
63 2001ep 0.01272 33.61950 0.19010
50 2001el 0.00403 31.51490 0.13944
4 05D2ac 0.48065 42.08740 0.12790
4 05D2ab 0.32446 41.18340 0.12210
59 2006ej 0.02059 34.63070 0.19360
1 3317 0.16008 39.32050 0.13020
15 580104 0.30904 40.92970 0.13520
63 2002hd 0.03183 35.75670 0.14450
1 5751 0.12950 38.92160 0.12570
1 6137 0.29893 41.02800 0.18660
15 550137 0.41939 41.57410 0.15220
51 2018aoz 0.00510 31.79050 0.37770
64 2005M 0.02603 34.99290 0.16680
150 AT2016fbk 0.03583 36.24380 0.13490
150 PS16ayd 0.05476 36.99880 0.12720
65 2008fr 0.03822 36.18220 0.13560
15 440162 0.41936 41.85570 0.16020
1 19794 0.29580 41.10400 0.19970
1 8921 0.14423 39.12220 0.13440
1 19027 0.29123 40.56150 0.15520
65 2007cb 0.03646 36.10500 0.14540
1 17340 0.25637 40.47990 0.13960
15 500038 0.10794 38.51010 0.12480
15 040782 0.33751 41.11300 0.14300
5 2005be 0.03419 35.86390 0.13520
63 2002dj 0.00939 32.92490 0.23190
65 2009bv 0.03890 36.35780 0.13520
15 350083 0.36790 41.36640 0.13200
1 21006 0.29031 40.72990 0.16990
1 5736 0.25187 40.55320 0.13350
100 Lancaster 1.23097 44.84640 0.19970
4 06D2ca 0.53271 42.41570 0.14030
10 1337655 0.84850 43.55380 0.16190
61 1994T 0.03604 35.96960 0.13990
1 16641 0.11411 38.80820 0.14050
1 17220 0.17786 39.44230 0.13520
150 ASASSN-15tg 0.03536 35.96020 0.13990
4 04D1pg 0.51387 42.50720 0.13480
150 ASASSN-15mf 0.02714 35.21180 0.14280
1 5391 0.30030 40.94730 0.17970
1 21033 0.22800 40.18570 0.15950
150 ASASSN-16ct 0.04336 36.32790 0.13370
100 Gabi 1.12092 44.42880 0.19310
51 2013gh 0.00862 32.73190 0.24510
15 460003 0.15084 39.28030 0.12790
4 05D1dx 0.57882 42.56860 0.13150
66 2010dw 0.03931 36.03110 0.13830
15 440643 0.18952 39.87580 0.13030
4 03D3aw 0.44964 42.13510 0.15660
5 2009cz 0.02292 34.91850 0.14550
65 2007su 0.02753 35.45420 0.15090
61 1993ac 0.05091 36.73170 0.13910
50 2019ein 0.00837 32.92020 0.12400
15 180561 0.22865 40.35900 0.12990
66 2009kk 0.01201 33.74400 0.19930
1 16619 0.11424 38.43580 0.12740
4 05D4av 0.50738 42.36950 0.12850
150 ASASSN-15bc 0.03792 36.09950 0.13060
5 2006D 0.00926 32.93560 0.11642
59 LSQ12gdj 0.02967 35.25510 0.17910
15 170078 0.32096 41.36540 0.16410
1 16541 0.13125 38.92140 0.14120
150 PS16evk 0.05232 36.97580 0.14520
51 2013gy 0.01309 33.83070 0.18300
4 04D1rx 0.98347 44.18840 0.16740
10 1331123 0.22910 40.32350 0.13360
63 2002kf 0.02001 34.74170 0.15650
4 03D1au 0.50316 42.27660 0.13480
150 AT2016htn 0.05210 36.93920 0.13560
1 15868 0.24986 40.53550 0.13930
59 2005cf 0.00727 32.47590 0.15049
1 18612 0.11388 38.48300 0.12740
150 AT2016cvv 0.04428 36.59320 0.15280
10 1322979 0.52940 42.41880 0.12180
1 2372 0.17973 39.64450 0.13090
63 2003du 0.00762 32.83580 0.12267
10 1306029 0.42890 41.94880 0.15710
15 510597 0.46104 42.13920 0.16980
1 15433 0.21949 40.22860 0.14190
64 2006eu 0.02228 34.70300 0.16320
1 1316 0.21578 40.32630 0.18310
15 160039 0.27093 40.56480 0.13360
10 1330903 0.56380 42.64210 0.15610
4 05D2by 0.89314 43.90830 0.16730
66 2010H 0.01673 34.29380 0.18300
1 14735 0.29947 40.83070 0.14300
15 120044 0.48164 42.46270 0.17010
1 2916 0.12316 38.73550 0.13510
15 490007 0.05541 36.96140 0.12840
15 000091 0.15284 39.26780 0.12890
56 2012ht 0.00466 32.06690 0.14752
65 2008hs 0.01805 34.77300 0.16630
15 350078 0.30089 41.31190 0.15790
15 390264 0.29221 40.58480 0.12570
150 AT2017cfb 0.02222 34.94490 0.14950
150 ATLAS16cpu 0.01858 34.67400 0.15850
50 1994D 0.00252 30.78450 0.72920
4 06D2bk 0.50067 42.40430 0.14300
10 1336009 0.34160 41.37810 0.14000
65 2009D 0.02446 35.02970 0.14700
4 05D3mx 0.47065 42.14090 0.13690
4 05D4ef 0.60328 42.90820 0.15020
15 120369 0.33047 41.36860 0.12990
100 Eagle 1.02088 44.27200 0.20060
10 1317454 0.56880 42.36890 0.15830
1 17240 0.07182 37.35450 0.15880
1 8213 0.18484 39.70710 0.14150
1 20470 0.12458 38.98890 0.13320
50 1992bk 0.05615 37.18190 0.16530
15 070242 0.06457 37.46790 0.13120
4 04D4hf 0.93391 43.96100 0.21220
10 1339392 0.18040 39.46650 0.18290
4 06D3fp 0.26860 40.61590 0.12170
15 010026 0.03243 35.77430 0.13270
10 1261579 0.32220 40.98340 0.14290
4 04D2ja 0.74196 43.60970 0.20890
50 1990N 0.00360 31.84120 0.13434
10 1335694 0.25910 40.52120 0.13310
10 1338170 0.38900 41.51180 0.16340
4 04D4dm 0.80904 43.55170 0.17070
1 5395 0.11653 38.73420 0.12730
150 PSNJ0859349 0.02950 35.56890 0.13800
10 1329615 0.40390 41.73450 0.16330
15 300105 0.09205 38.32580 0.12210
5 2005M 0.02603 35.16040 0.13640
4 05D3mh 0.67072 43.23420 0.15680
1 18940 0.21114 40.06790 0.14110
15 010010 0.09950 38.55220 0.12350
4 05D3gv 0.71571 43.18260 0.17190
51 2008eq 0.05741 37.10450 0.14000
15 120143 0.17378 39.44400 0.12490
4 04D4ih 0.93191 43.90150 0.17260
10 1283878 0.31350 41.12260 0.16060
150 PSNJ0107203 0.01692 34.07940 0.17040
64 2008L 0.01917 34.33650 0.16720
51 2008gl 0.03271 35.70930 0.13830
150 PS16dnp 0.05019 36.96430 0.13390
10 1329312 0.34440 41.34360 0.14540
15 110484 0.51095 42.16750 0.16800
1 18325 0.25736 40.62430 0.15690
10 1334707 0.64880 42.95350 0.12580
4 06D2cc 0.53372 42.29870 0.16170
15 070955 0.34932 41.22480 0.12600
10 1310338 0.43880 41.58410 0.13370
4 05D4bf 0.58730 42.78280 0.14500
1 7876 0.07520 37.59240 0.12650
1 19149 0.21037 39.56220 0.12570
1 19341 0.23557 40.33860 0.15670
59 2013cs 0.00915 32.53660 0.15713
10 1334302 0.45490 41.92000 0.16390
15 000236 0.19616 39.84720 0.12460
1 20144 0.21875 40.11460 0.15310
15 130755 0.29298 40.91340 0.15770
15 500004 0.25063 40.40390 0.14510
150 AT2016bln 0.02442 35.17760 0.14450
51 2018gv 0.00641 32.20020 0.11908
64 2008af 0.03406 35.79900 0.13890
59 2009an 0.01046 33.34890 0.24980
10 1306537 0.47950 42.12460 0.15320
1 20039 0.24572 40.45450 0.14330
15 020027 0.11001 38.65980 0.13040
59 2011fe 0.00082 29.21870 0.14872
15 000220 0.21972 40.19090 0.12500
150 PS16em 0.07083 37.53860 0.16630
62 1999ef 0.03844 36.33420 0.13750
5 2009ab 0.01124 33.58830 0.20690
1 16093 0.33450 41.28060 0.17700
150 PS15bwh 0.07158 37.39110 0.13700
10 1290816 0.21850 40.30630 0.13310
63 2003ic 0.05178 36.49710 0.14310
64 2007O 0.03796 35.96850 0.13500
10 1317666 0.14140 39.24930 0.12330
4 03D4di 0.89695 43.73530 0.17910
4 05D4dw 0.85300 43.64960 0.15620
1 15467 0.20856 39.99360 0.13780
10 1291794 0.39510 41.57740 0.16340
4 03D4at 0.63225 43.00540 0.19100
64 2007bd 0.03117 35.57160 0.13740
1 20084 0.13851 39.20570 0.13360
1 21814 0.10078 38.22550 0.14340
15 560152 0.24862 40.48300 0.15100
150 ASASSN-16fs 0.02925 35.37450 0.14250
4 04D3oe 0.75675 43.36360 0.16150
10 1343401 0.38290 41.49050 0.16690
64 2006bq 0.02270 34.93330 0.14860
150 AT2016gmg 0.04852 36.73150 0.14550
1 16776 0.26529 40.61810 0.18580
59 2013E 0.01030 32.92390 0.23930
50 1992J 0.04535 36.41730 0.18850
15 200132 0.20868 40.20240 0.13230
1 18749 0.18948 39.83300 0.14270
10 1315192 0.22540 40.16120 0.13650
1 2308 0.14721 39.26630 0.12960
1 19008 0.21768 40.11800 0.14290
51 2007kk 0.04316 36.29730 0.14170
4 05D2bt 0.68190 42.93820 0.14170
4 04D3lp 0.98383 44.25770 0.17190
15 350050 0.40483 41.47910 0.15790
1 18965 0.20469 40.01280 0.14310
59 2009gf 0.01834 34.70220 0.19980
1 13796 0.14747 39.07290 0.12620
150 ASASSN-16fo 0.03064 35.62430 0.13840
1 14284 0.18050 39.48100 0.12850
61 1994M 0.02500 35.00390 0.14610
1 5103 0.16078 39.33210 0.12890
4 05D3jq 0.57967 42.51830 0.12840
4 05D4hn 0.84002 43.36290 0.15400
1 18604 0.17498 39.83690 0.15190
150 AT2017ns 0.02849 35.34180 0.14770
10 1291090 0.29200 40.85190 0.14000
5 2008bi 0.01483 34.56170 0.18840
63 2004bg 0.02235 34.95140 0.14360
1 15219 0.24650 40.52080 0.14590
150 ASASSN-16aj 0.02902 35.56020 0.13960
150 SN2017ciy 0.03858 36.60970 0.13900
59 2010kg 0.01654 34.10020 0.20230
64 2006kf 0.01931 34.85820 0.16570
150 ASASSN-16av 0.02813 35.44880 0.14680
15 120085 0.32206 40.83750 0.14100
1 16185 0.10043 38.31370 0.13200
4 05D4fg 0.83702 43.65890 0.16240
4 06D4ba 0.69818 43.13430 0.19520
59 PS1-14xw 0.02406 35.24580 0.21770
5 2006lu 0.05329 36.92510 0.12540
15 480464 0.22132 40.18960 0.12910
150 PTSS-16efw 0.03577 36.30740 0.14270
15 370367 0.47164 42.05710 0.15470
1 6192 0.27103 40.68490 0.18450
15 440005 0.30548 41.08820 0.13530
4 06D4dh 0.30161 41.01740 0.12180
15 420407 0.24523 40.59650 0.15120
63 2003kc 0.03499 35.91660 0.13880
15 310188 0.31901 41.26620 0.12910
51 2013fw 0.01677 34.25700 0.16090
4 04D4jr 0.46842 42.04710 0.13270
4 05D1cc 0.56283 42.58590 0.12950
5 2007le 0.00650 32.25210 0.30840
64 2006ej 0.02059 34.73940 0.15510
15 560027 0.43891 41.86430 0.19590
63 2003cq 0.03381 35.89150 0.15900
63 2002G 0.03677 35.94540 0.16990
150 PS15bbn 0.03619 36.26160 0.14010
56 2007af 0.00633 32.09260 0.14688
150 AT2017po 0.03267 35.68740 0.14440
1 18650 0.11259 38.72030 0.12790
150 ASASSN-16ad 0.01482 34.17030 0.17030
61 1995al 0.00690 32.30020 0.13170
15 460037 0.30251 40.98620 0.16860
63 2003ch 0.02973 35.68830 0.14330
4 04D1jg 0.58301 42.68710 0.13990
150 ASASSN-16dw 0.03394 35.87620 0.13610
4 05D4ag 0.63825 42.89990 0.16600
59 2009ig 0.00810 32.63170 0.15639
15 510266 0.44067 41.82930 0.13970
1 7847 0.21174 40.03830 0.13610
10 1302187 0.21950 40.07700 0.14930
1 1112 0.25620 40.67050 0.19450
1 18617 0.32580 41.28340 0.20120
150 AT2016cvw 0.03777 36.09340 0.14420
4 06D3do 0.72674 43.24730 0.14920
15 440050 0.28557 40.81620 0.15200
15 350316 0.07991 37.68770 0.12290
63 2003U 0.02896 35.36110 0.15020
1 19616 0.16471 39.43500 0.12830
10 1303952 0.56260 42.79840 0.20030
1 15584 0.28344 40.77640 0.14920
1 14397 0.38503 41.68110 0.18120
64 2006S 0.03419 35.98270 0.13550
63 2001ah 0.05890 37.07990 0.17150
10 1298281 0.23510 40.27170 0.13730
15 360139 0.38600 41.65250 0.12120
59 2007sr 0.00572 31.43060 0.15903
1 17784 0.03802 36.08920 0.13610
5 2011iv 0.00462 31.27120 0.12380
4 05D4cq 0.69918 43.22360 0.15920
1 2533 0.33891 41.17600 0.18510
10 1316465 0.32910 41.16440 0.12010
15 440042 0.15921 39.53150 0.12690
5 2005eq 0.02810 35.58820 0.13890
10 1304442 0.21710 40.19040 0.14380
10 1319821 0.30880 41.11400 0.13630
4 05D2bw 0.92217 43.70830 0.18820
150 PS16aer 0.05706 37.14110 0.12680
15 550041 0.25859 40.59330 0.13040
15 470110 0.34545 41.32240 0.17180
1 17497 0.14404 39.17010 0.12530
61 1993ae 0.01868 34.35820 0.16350
62 1999cc 0.03075 35.66450 0.13760
62 2000cf 0.03710 36.12050 0.13270
15 570062 0.12383 38.92990 0.12870
15 480184 0.33089 41.28700 0.15410
4 06D3ed 0.40463 41.78230 0.12600
10 1275946 0.23210 40.27830 0.12740
59 2013ex 0.01133 33.61980 0.23060
1 16276 0.19193 39.87790 0.15040
150 ATLAS16dqf 0.02039 34.79620 0.16970
1 12881 0.23685 40.22170 0.15710
150 ASASSN-15mg 0.04433 36.42480 0.13670
1 2017 0.26172 40.82440 0.19230
1 13511 0.23664 40.59990 0.15840
1 3452 0.22978 40.23450 0.14300
4 05D4ek 0.53435 42.28590 0.13190
64 2007ar 0.05347 36.87210 0.15590
4 05D3mn 0.76076 43.27340 0.14380
15 510638 0.27020 40.73430 0.12480
150 AT2016ews 0.04638 36.68850 0.13350
59 2013gh 0.00862 32.94540 0.27930
15 460105 0.21084 40.07490 0.13870
150 PS17bii 0.07446 37.57290 0.15320
1 9467 0.21897 40.32700 0.18260
10 1279500 0.23500 40.37330 0.12570
59 LSQ13ry 0.03131 35.72690 0.25450
150 ASASSN-15pn 0.03951 36.30270 0.13690
1 16069 0.12706 38.89360 0.12840
61 1996bv 0.01687 34.09460 0.16580
150 ASASSN-16oz 0.03201 35.53710 0.14030
4 05D2my 0.98324 44.10670 0.15270
1 13099 0.26463 40.78700 0.18790
66 2009kq 0.01258 33.57300 0.19330
150 SN2017cjv 0.06114 37.16140 0.14420
4 05D2dy 0.51169 42.42560 0.13520
65 2008Z 0.02097 35.31850 0.14460
4 04D2an 0.62183 42.75360 0.16060
1 15897 0.17374 39.61950 0.14350
59 2015F 0.00506 31.56460 0.17817
1 14846 0.22349 40.27320 0.14310
63 2002dp 0.01046 33.40070 0.12916
64 2005mc 0.02633 35.32380 0.14750
1 13072 0.22928 40.32240 0.15170
10 1314897 0.33690 41.14180 0.13790
15 050301 0.34717 41.19480 0.13970
10 1306980 0.54890 42.32440 0.24270
1 21422 0.26573 40.65110 0.14860
5 2009al 0.02359 35.02300 0.14680
15 570025 0.29855 40.74510 0.15650
150 ASASSN-15so 0.00878 32.86940 0.10698
10 1304127 0.72860 43.18450 0.20370
1 16106 0.24983 40.42260 0.15720
1 5635 0.17852 40.05930 0.14820
15 520077 0.25019 40.72180 0.14970
10 1338430 0.50890 42.22370 0.15110
5 2004ef 0.03006 35.51190 0.13570
51 2008eg 0.03375 35.97160 0.14540
4 04D4fx 0.62725 42.76670 0.13590
1 19818 0.30406 40.84780 0.15310
10 1317277 0.23710 40.29570 0.13390
59 2013dy 0.00455 31.76390 0.15786
65 2007ss 0.01652 34.39030 0.17080
1 1371 0.11818 38.55330 0.12680
1 16116 0.15526 39.39130 0.13360
5 2007A 0.01676 34.42570 0.16430
150 ASASSN-15pr 0.03293 36.01010 0.15010
1 14421 0.17417 39.70070 0.12260
150 ASASSN-15jt 0.02411 35.09740 0.15020
1 15356 0.27351 40.64260 0.15800
10 1309288 0.26840 40.63260 0.16410
4 03D1fq 0.79863 43.68680 0.18240
10 1332059 0.57880 42.68330 0.17110
65 2007cc 0.02932 35.23910 0.16500
4 05D3cq 0.89079 43.53870 0.16270
4 04D3fq 0.74276 43.26950 0.18010
1 13136 0.37057 41.80520 0.19040
51 2011df 0.01504 33.98550 0.17470
4 05D1em 0.86456 43.72060 0.16530
10 1338387 0.58380 42.53600 0.15310
1 17366 0.13822 39.01080 0.13150
51 2016fbk 0.03583 36.05480 0.13800
4 04D4gg 0.42247 41.78510 0.12630
10 1295256 0.44250 41.95960 0.14080
150 SN2017hn 0.02611 35.16780 0.14870
1 15425 0.15948 39.17630 0.12710
150 SN2016glp 0.08410 38.04100 0.13120
150 CSS160428 0.03164 35.82590 0.13710
64 2007ap 0.01602 34.36590 0.17210
64 2006cz 0.04301 35.89830 0.17210
1 9032 0.25260 40.50640 0.17260
64 2006ob 0.05834 37.03620 0.13270
5 2008gp 0.03349 35.73150 0.13320
1 13689 0.25043 40.58030 0.14810
150 ASASSN-15np 0.03921 36.11900 0.13900
